Invoice_ID,City,Course_Type,Price,Discount,Final_Total,Enrollment_Date,Rating,Course_Details
INV-10001,Mecca,Recorded Subscription,532,266,266,2023-03-17,4.1,Laravel & PHP | Advanced
INV-10002,Jeddah,Recorded Subscription,289,0,289,"2023, March 15",4.5,Laravel & PHP | Beginner
INV-10003,Dammam,Recorded Subscription,474,94,380,"2023, March 15",4.4,UI/UX Design | Intermediate
INV-10004,Khobar,Recorded Subscription,265,0,265,"2023, March 15",4.7,UI/UX Design | Beginner
INV-10005,Mecca,Recorded Subscription,228,45,183,22-03-2023,4.6,React & Next.js | Beginner
INV-10006,Riyadh,Live Bootcamp,1542,0,1542,1900-01-01,4.5,Flutter Development | Beginner
INV-10007,Khobar,Recorded Subscription,269,134,135,10-02-2023,4.5,Flutter Development | Beginner
INV-10008,Tabuk,Recorded Subscription,211,42,169,"2023, March 15",4.7,Data Analysis | Beginner
INV-10009,Riyadh,Recorded Subscription,397,0,397,"2023, March 15",?,Flutter Development | Intermediate
INV-10010,Jeddah,Recorded Subscription,292,0,292,08-03-2023,4.6,Python Basics | Beginner
INV-10011,Jeddah,Recorded Subscription,210,105,105,13-12-2023,4.1,Python Basics | Beginner
INV-10012,Jeddah,Recorded Subscription,328,65,263,2023-10-17,4.3,React & Next.js | Beginner
INV-10013,Riyadh,Live Bootcamp,1559,0,1559,"2023, March 15",4.9,Python Basics | Beginner
INV-10014,Tabuk,Recorded Subscription,383,76,307,2023-12-16,4.0,UI/UX Design | Intermediate
INV-10015,Tabuk,Recorded Subscription,335,0,335,20-02-2023,4.6,Flutter Development | Beginner
INV-10016,Tabuk,Recorded Subscription,333,0,333,14-07-2023,4.1,UI/UX Design | Beginner
INV-10017,Riyadh,Recorded Subscription,466,0,466,19-07-2023,3.9,Data Analysis | Intermediate
INV-10018,Jeddah,Recorded Subscription,299,59,240,21-03-2023,4.5,Laravel & PHP | Beginner
INV-10019,Jeddah,Live Bootcamp,2795,0,2795,"2023, March 15",4.6,Laravel & PHP | Advanced
INV-10020,Tabuk,Recorded Subscription,408,204,204,09-07-2023,4.0,Flutter Development | Intermediate
INV-10021,Khobar,Recorded Subscription,384,0,384,"2023, March 15",4.7,UI/UX Design | Intermediate
INV-10022,Mecca,Recorded Subscription,319,0,319,2023-10-01,4.1,Python Basics | Beginner
INV-10023,Mecca,Recorded Subscription,255,127,128,2023-10-13,4.6,Data Analysis | Beginner
INV-10024,Riyadh,Recorded Subscription,468,93,375,"2023, March 15",4.8,Python Basics | Intermediate
INV-10025,Jeddah,Recorded Subscription,221,0,221,2023-08-11,4.2,Python Basics | Beginner
INV-10026,Riyadh,Live Bootcamp,2958,0,2958,2023-01-05,4.6,React & Next.js | Advanced
INV-10027,Tabuk,Recorded Subscription,563,0,563,"2023, March 15",4.1,Python Basics | Advanced
